2025-06-20 15:42:15,103 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.141', 52212): Bienvenue Yanis sur ClassCord !
2025-06-20 15:42:15,103 - ERROR - Erreur avec 'Yanis' @ ('10.0.108.141', 52212) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:42:37,845 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 52232)
2025-06-20 15:42:37,938 - INFO - Reçu de 'invité' @ ('10.0.108.141', 52232) - Type: login - Contenu: None
2025-06-20 15:42:37,939 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.141', 52232): Bienvenue Yanis sur ClassCord !
2025-06-20 15:42:37,939 - ERROR - Erreur avec 'Yanis' @ ('10.0.108.141', 52232) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:43:04,877 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 52256)
2025-06-20 15:43:05,075 - INFO - Reçu de 'invité' @ ('10.0.108.141', 52256) - Type: users - Contenu: None
2025-06-20 15:43:15,011 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.73', 61810)
2025-06-20 15:43:15,011 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61810) - Type: register - Contenu: None
2025-06-20 15:43:15,023 - INFO - [SYSTEM EVENT] Nouvel utilisateur enregistré: Invité_Rudy_1750426994565 @ 10.0.108.73
2025-06-20 15:43:15,214 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61810) - Type: login - Contenu: None
2025-06-20 15:43:15,217 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.73', 61810): Bienvenue Invité_Rudy_1750426994565 sur ClassCord !
2025-06-20 15:43:15,218 - ERROR - Erreur avec 'Invité_Rudy_1750426994565' @ ('10.0.108.73', 61810) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:43:45,218 - ERROR - Erreur avec 'None' @ ('10.0.108.141', 52256) - [Errno 104] Connection reset by peer
2025-06-20 15:52:04,531 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.52', 65036)
2025-06-20 15:52:15,810 - INFO - Reçu de 'invité' @ ('10.0.108.52', 65036) - Type: users - Contenu: None
